"id","absolute_url","date_end","date_start","nb_days","country","location","category","status","finished","is_cancelled","amount_raised","goal","percent","currency","goal_raised","lang","comment_counts","news_count"
64,"https://www.ulule.com/watch-diary/","2011-10-15T21:59:59Z","2011-09-01T00:00:00Z",45,"FR",NA,"Mode & Design","online",TRUE,FALSE,2387,50,346,"EUR",TRUE,"fr",20,6
65,"https://www.ulule.com/moviemap/","2011-12-01T22:59:59Z","2011-09-27T00:00:00Z",40,"FR",NA,"Mode & Design","online",TRUE,FALSE,1885,50,124,"EUR",TRUE,"fr",7,2
67,"https://www.ulule.com/nayons-pas-peur-des-mots/","2011-11-03T22:59:59Z","2011-09-09T00:00:00Z",NA,"FR",NA,"Spectacle vivant","online",TRUE,FALSE,0,100,0,"EUR",FALSE,"fr",8,1
68,"https://www.ulule.com/lolproject-book/","2011-10-31T22:59:59Z","2011-10-06T00:00:00Z",NA,"FR","Paris","Édition & Média","online",TRUE,FALSE,19204,500,139,"EUR",TRUE,"fr",22,2
72,"https://www.ulule.com/touslesjoursdimanche/","2011-11-13T22:59:59Z","2011-09-14T00:00:00Z",60,"FR",NA,"Édition & Média","online",TRUE,FALSE,19573,250,262,"EUR",TRUE,"fr",53,10
76,"https://www.ulule.com/nomad-jacket/","2011-12-19T22:59:59Z","2011-09-20T00:00:00Z",90,"GB","Nottingham","Mode & Design","online",TRUE,FALSE,0,25,0,"EUR",FALSE,"en",0,0
77,"https://www.ulule.com/get-bizzi-clothing/","2011-10-30T21:59:59Z","2011-09-30T00:00:00Z",30,"FR",NA,"Mode & Design","online",TRUE,FALSE,0,60,0,"EUR",FALSE,"fr",0,0
82,"https://www.ulule.com/hurakan-tees/","2011-12-10T22:59:59Z","2011-10-18T00:00:00Z",NA,"FR",NA,"Mode & Design","online",TRUE,FALSE,0,40,0,"EUR",FALSE,"fr",0,3
83,"https://www.ulule.com/castup-zombiepirates/","2011-10-24T21:59:59Z","2011-10-10T00:00:00Z",14,"GB",NA,"Mode & Design","online",TRUE,FALSE,428,10,110,"GBP",TRUE,"en",4,3
89,"https://www.ulule.com/diamondfizz/","2011-12-13T22:59:59Z","2011-11-18T00:00:00Z",30,"FR",NA,"Musique","online",TRUE,FALSE,236,30,120,"EUR",TRUE,"fr",1,0
90,"https://www.ulule.com/le-sac-madmoizelle/","2011-11-13T22:59:59Z","2011-10-14T00:00:00Z",30,"FR","Paris","Mode & Design","online",TRUE,FALSE,3069,200,116,"EUR",TRUE,"fr",6,0
93,"https://www.ulule.com/carte-fox/","2011-12-12T22:59:59Z","2011-11-02T00:00:00Z",40,"FR",NA,"Mode & Design","online",TRUE,FALSE,322,40,112,"EUR",TRUE,"fr",9,0
95,"https://www.ulule.com/leatherman-rumania/","2011-12-06T22:59:59Z","2011-10-26T00:00:00Z",45,"FR","Rouen-France","Musique","online",TRUE,FALSE,2125,70,105,"EUR",TRUE,"fr",2,0
97,"https://www.ulule.com/orisha/","2011-12-01T22:59:59Z","2011-11-02T00:00:00Z",NA,"CA",NA,"Édition & Média","online",TRUE,FALSE,500,25,100,"CAD",TRUE,"fr",0,0
98,"https://www.ulule.com/iplate/","2012-01-06T22:59:59Z","2011-10-27T00:00:00Z",50,"FR","Lyon","Mode & Design","online",TRUE,FALSE,0,250,42,"EUR",FALSE,"fr",9,1
102,"https://www.ulule.com/iphone-diy-case/","2011-12-16T22:59:59Z","2011-11-02T00:00:00Z",NA,"FR",NA,"Mode & Design","online",TRUE,FALSE,268,120,14,"EUR",FALSE,"fr",0,1
103,"https://www.ulule.com/metal-urbain/","2011-12-05T22:59:59Z","2011-11-03T00:00:00Z",30,"FR","Paris, France","Musique","online",TRUE,FALSE,3294,100,102,"EUR",TRUE,"fr",0,6
104,"https://www.ulule.com/lere-des-phalansteres/","2012-02-07T22:59:59Z","2011-11-03T00:00:00Z",40,"FR",NA,"Édition & Média","online",TRUE,FALSE,75,50,10,"EUR",FALSE,"fr",0,0
105,"https://www.ulule.com/china-expedisound/","2012-01-08T22:59:59Z","2011-11-21T00:00:00Z",60,"FR","Marseille","Musique","online",TRUE,FALSE,3335,100,107,"EUR",TRUE,"fr",10,10
106,"https://www.ulule.com/staal-cabaret-sauvage/","2012-01-30T22:59:59Z","2011-11-07T00:00:00Z",NA,"FR",NA,"Musique","online",TRUE,FALSE,158,100,12,"EUR",FALSE,"fr",0,2
109,"https://www.ulule.com/canyon-tour-bordeaux/","2012-02-13T22:59:59Z","2011-11-15T00:00:00Z",90,"FR",NA,"Musique","online",TRUE,FALSE,90,200,4,"EUR",FALSE,"fr",0,0
112,"https://www.ulule.com/canyon-tour-larochelle/","2012-02-13T22:59:59Z","2011-11-14T00:00:00Z",NA,"FR",NA,"Musique","online",TRUE,FALSE,110,200,5,"EUR",FALSE,"fr",0,0
113,"https://www.ulule.com/canyon-tour-toulouse/","2012-02-13T22:59:59Z","2011-11-14T00:00:00Z",NA,"FR",NA,"Musique","online",TRUE,FALSE,150,200,7,"EUR",FALSE,"fr",0,0
115,"https://www.ulule.com/canyon-tour-montpellier/","2012-02-13T22:59:59Z","2011-11-14T00:00:00Z",NA,"FR",NA,"Musique","online",TRUE,FALSE,13,200,0,"EUR",FALSE,"fr",0,0
116,"https://www.ulule.com/canyon-tour-avignon/","2012-02-13T22:59:59Z","2011-11-15T00:00:00Z",NA,"FR",NA,"Musique","online",TRUE,FALSE,40,200,2,"EUR",FALSE,"fr",0,0
117,"https://www.ulule.com/canyon-tour-lyon/","2012-02-13T22:59:59Z","2011-11-16T00:00:00Z",NA,"FR",NA,"Musique","online",TRUE,FALSE,10,200,0,"EUR",FALSE,"fr",0,0
118,"https://www.ulule.com/canyon-tour-nevers/","2012-02-13T22:59:59Z","2011-11-15T00:00:00Z",NA,"FR",NA,"Musique","online",TRUE,FALSE,80,150,5,"EUR",FALSE,"fr",3,0
119,"https://www.ulule.com/canyon-tour-nantes/","2012-02-13T22:59:59Z","2011-11-16T00:00:00Z",NA,"FR",NA,"Musique","online",TRUE,FALSE,10,200,0,"EUR",FALSE,"fr",0,0
122,"https://www.ulule.com/japon/","2012-01-30T22:59:59Z","2011-11-18T00:00:00Z",NA,"FR",NA,"Édition & Média","online",TRUE,FALSE,1301,50,130,"EUR",TRUE,"fr",2,7
123,"https://www.ulule.com/portugal/","2012-01-30T22:59:59Z","2011-11-18T00:00:00Z",NA,"FR",NA,"Édition & Média","online",TRUE,FALSE,1052,50,104,"EUR",TRUE,"fr",7,5
127,"https://www.ulule.com/can-i-kick-it/","2012-01-04T22:59:59Z","2011-12-06T00:00:00Z",30,"FR","Bordeaux","Mode & Design","online",TRUE,FALSE,1150,50,114,"EUR",TRUE,"fr",0,0
131,"https://www.ulule.com/double-vinyle-tetra-hydro-k-dubsteppajungle/","2012-02-01T22:59:59Z","2011-11-30T00:00:00Z",NA,"FR","Besançon (25)","Musique","online",TRUE,FALSE,1668,60,111,"EUR",TRUE,"fr",8,6
132,"https://www.ulule.com/the-tree-laabidi-rachid/","2012-01-04T22:59:59Z","2011-11-25T00:00:00Z",40,"FR",NA,"Musique","online",TRUE,FALSE,0,30,0,"EUR",FALSE,"fr",0,1
134,"https://www.ulule.com/concert-au-moods/","2012-02-28T22:59:59Z","2011-12-01T00:00:00Z",NA,"FR",NA,"Musique","online",TRUE,FALSE,0,60,0,"EUR",FALSE,"fr",0,0
137,"https://www.ulule.com/rowingvision/","2012-03-04T22:59:59Z","2012-01-04T00:00:00Z",60,"FR","Agen, France","Édition & Média","online",TRUE,FALSE,943,300,8,"EUR",FALSE,"fr",0,2
138,"https://www.ulule.com/corbo/","2012-02-08T22:59:59Z","2011-12-09T00:00:00Z",NA,"FR","Besançon (25)","Musique","online",TRUE,FALSE,723,60,113,"EUR",TRUE,"fr",3,4
142,"https://www.ulule.com/xxy-question-de-genres/","2012-01-31T22:59:59Z","2011-12-12T00:00:00Z",50,"FR",NA,"Édition & Média","online",TRUE,FALSE,1062,50,112,"EUR",TRUE,"fr",0,8
155,"https://www.ulule.com/tetridoor/","2012-01-25T22:59:59Z","2012-01-03T00:00:00Z",30,"FR","06","Édition & Média","online",TRUE,FALSE,0,25,0,"EUR",FALSE,"fr",0,0
157,"https://www.ulule.com/big-brother/","2012-01-28T22:59:59Z","2011-12-29T00:00:00Z",30,"FR",NA,"Mode & Design","online",TRUE,FALSE,0,25,0,"EUR",FALSE,"fr",0,0
167,"https://www.ulule.com/wc3/","2012-02-23T22:59:59Z","2012-01-23T00:00:00Z",31,"FR","Paris, France","Musique","online",TRUE,FALSE,2895,100,102,"EUR",TRUE,"fr",69,12
178,"https://www.ulule.com/nokero-1/","2012-05-17T21:59:59Z","2012-02-09T00:00:00Z",NA,"FR",NA,"Solidaire & Citoyen","online",TRUE,TRUE,443,111,24,"EUR",FALSE,"fr",12,5
181,"https://www.ulule.com/art-light-soul/","2012-03-12T22:59:59Z","2012-02-07T00:00:00Z",35,"BE","Bruxelles","Artisanat & Cuisine","online",TRUE,FALSE,205,20,10,"USD",FALSE,"fr",0,0
185,"https://www.ulule.com/cast-up-the-bayourks/","2012-02-20T22:59:59Z","2012-02-06T00:00:00Z",14,"GB",NA,"Mode & Design","online",TRUE,FALSE,413,10,100,"GBP",TRUE,"en",0,1
212,"https://www.ulule.com/marchailleurs/","2011-03-01T22:59:59Z","2010-06-16T00:00:00Z",90,"FR",NA,"Sports","online",TRUE,FALSE,120,5000,2,"EUR",FALSE,"fr",0,0
221,"https://www.ulule.com/shave-da-gasp/","2010-07-14T21:59:59Z","2010-06-18T00:00:00Z",NA,"FR","Paris","Film & vidéo","online",TRUE,FALSE,11,10,110,"EUR",TRUE,"en",2,6
227,"https://www.ulule.com/sleepbot/","2010-08-19T21:59:59Z","2010-06-18T00:00:00Z",45,"US","New York, NY","Technologie","online",TRUE,FALSE,3585,3500,102,"USD",TRUE,"en",6,3
229,"https://www.ulule.com/the-doodlemeisters/","2010-07-22T21:59:59Z","2010-06-21T00:00:00Z",NA,"US","Long Beach, CA (USA)","Solidaire & Citoyen","online",TRUE,FALSE,507,500,101,"USD",TRUE,"en",2,2
234,"https://www.ulule.com/jumpingbook/","2010-10-03T21:59:59Z","2010-06-21T00:00:00Z",90,"US",NA,"Art & Photo","online",TRUE,FALSE,122,700,17,"USD",FALSE,"en",2,1
235,"https://www.ulule.com/exposition-photos-du-basculement/","2010-10-05T21:59:59Z","2010-06-20T00:00:00Z",90,NA,NA,"Art & Photo","online",TRUE,FALSE,30,1750,1,"EUR",FALSE,"fr",1,0
244,"https://www.ulule.com/help-me-fund-my-phd-on-african-forests/","2011-01-17T22:59:59Z","2010-10-09T00:00:00Z",90,"GB","Scotland","Autres projets","online",TRUE,FALSE,45,3500,1,"GBP",FALSE,"en",0,0
249,"https://www.ulule.com/zanzicode/","2010-09-01T21:59:59Z","2010-06-26T00:00:00Z",NA,"AT","Vienna","Technologie","online",TRUE,FALSE,10,5000,0,"EUR",FALSE,"en",0,0
250,"https://www.ulule.com/dawar-1er-album/","2010-10-05T21:59:59Z","2010-07-09T00:00:00Z",NA,"FR","Paris","Musique","online",TRUE,FALSE,1250,1200,104,"EUR",TRUE,"fr",5,2
252,"https://www.ulule.com/blarg/","2011-04-03T21:59:59Z","2011-02-22T00:00:00Z",40,"FR","ici","Jeux","online",TRUE,FALSE,50,10,500,"EUR",TRUE,"fr",13,9
254,"https://www.ulule.com/urbatectures/","2010-09-14T21:59:59Z","2010-06-28T00:00:00Z",120,"FR","La Craba","Musique","online",TRUE,FALSE,237,3200,7,"EUR",FALSE,"fr",9,3
261,"https://www.ulule.com/test-68/","2010-11-03T22:59:59Z","2010-07-05T00:00:00Z",120,"FR","Lyon","Film & vidéo","online",TRUE,FALSE,346,3000,11,"EUR",FALSE,"fr",9,1
262,"https://www.ulule.com/made-in-coorg-the-story-of-indian-coffee/","2010-09-24T21:59:59Z","2010-08-25T00:00:00Z",NA,"GB",NA,"Art & Photo","online",TRUE,FALSE,602,600,100,"GBP",TRUE,"en",3,0
263,"https://www.ulule.com/croulants-troisieme-numero/","2010-09-12T21:59:59Z","2010-07-05T00:00:00Z",NA,"CH","Genèèèève","Édition & Média","online",TRUE,FALSE,205,200,102,"CHF",TRUE,"fr",4,3
265,"https://www.ulule.com/titus/","2010-10-24T21:59:59Z","2010-07-06T00:00:00Z",60,"FR","Reims","Jeux","online",TRUE,FALSE,2226,1500,148,"EUR",TRUE,"fr",31,13
269,"https://www.ulule.com/-panda-dub/","2010-10-26T21:59:59Z","2010-07-06T00:00:00Z",110,"FR","Lyon","Musique","online",TRUE,FALSE,125,1100,11,"EUR",FALSE,"fr",1,0
270,"https://www.ulule.com/careersters/","2010-08-08T21:59:59Z","2010-07-06T00:00:00Z",30,"US","San Francisco, CA","Technologie","online",TRUE,FALSE,0,4000,0,"EUR",FALSE,"en",0,1
275,"https://www.ulule.com/fleurs-de-foin/","2010-11-06T22:59:59Z","2010-07-07T00:00:00Z",120,"FR","ardeche","Artisanat & Cuisine","online",TRUE,FALSE,510,500,102,"EUR",TRUE,"fr",16,8
276,"https://www.ulule.com/alamea-hair-flowers/","2011-08-31T21:59:59Z","2011-07-27T00:00:00Z",NA,"FR","PARIS","Mode & Design","online",TRUE,FALSE,25,150,16,"EUR",FALSE,"fr",2,0
278,"https://www.ulule.com/stories4change/","2010-11-06T22:59:59Z","2010-07-07T00:00:00Z",120,"GB",NA,"Solidaire & Citoyen","online",TRUE,FALSE,63,1500,4,"GBP",FALSE,"en",0,0
291,"https://www.ulule.com/audas-short-film/","2010-09-07T21:59:59Z","2010-07-08T00:00:00Z",60,"US","Vancouver, WA","Film & vidéo","online",TRUE,FALSE,256,250,102,"USD",TRUE,"en",5,5
302,"https://www.ulule.com/lappland-project/","2010-11-16T22:59:59Z","2010-07-13T00:00:00Z",120,"FR",NA,"Solidaire & Citoyen","online",TRUE,FALSE,503,500,100,"EUR",TRUE,"fr",3,2
310,"https://www.ulule.com/exit-exit/","2010-11-30T22:59:59Z","2010-07-15T00:00:00Z",NA,"GB",NA,"Film & vidéo","online",TRUE,FALSE,70,900,7,"EUR",FALSE,"en",1,0
318,"https://www.ulule.com/solidarit_haiti/","2010-10-31T21:59:59Z","2010-07-16T00:00:00Z",90,"FR","Paris & Port-au-Prince","Édition & Média","online",TRUE,FALSE,175,2500,7,"EUR",FALSE,"fr",5,2
321,"https://www.ulule.com/un-petit-sourire/","2010-10-02T21:59:59Z","2010-07-17T00:00:00Z",60,"FR","toulouse","BD & Manga","online",TRUE,FALSE,60,3000,2,"EUR",FALSE,"fr",3,4
332,"https://www.ulule.com/iphoneinabottle/","2010-09-27T21:59:59Z","2010-07-22T00:00:00Z",60,"CY",NA,"Technologie","online",TRUE,FALSE,80,10000,0,"EUR",FALSE,"en",4,0
336,"https://www.ulule.com/princess-peche/","2010-09-24T21:59:59Z","2010-07-23T00:00:00Z",60,NA,NA,"Film & vidéo","online",TRUE,FALSE,482,480,100,"EUR",TRUE,"fr",1,5
337,"https://www.ulule.com/birthday-birds-tattoo/","2010-08-10T21:59:59Z","2010-07-23T00:00:00Z",NA,"FR",NA,"Artisanat & Cuisine","online",TRUE,FALSE,404,400,101,"EUR",TRUE,"fr",3,1
340,"https://www.ulule.com/its-my-dream-in-a-box/","2010-09-01T21:59:59Z","2010-07-28T00:00:00Z",NA,"BE","Beauraing","Art & Photo","online",TRUE,FALSE,953,800,119,"EUR",TRUE,"fr",4,2
343,"https://www.ulule.com/grande-soeur/","2011-10-06T21:59:59Z","2011-07-28T00:00:00Z",NA,"FR",NA,"Film & vidéo","online",TRUE,FALSE,4340,3500,124,"EUR",TRUE,"fr",1,4
347,"https://www.ulule.com/sole-search/","2010-10-01T21:59:59Z","2010-07-29T00:00:00Z",60,"BE","Ghent","Technologie","online",TRUE,FALSE,10,2500,0,"USD",FALSE,"en",1,0
356,"https://www.ulule.com/medieval-happy-end-1/","2010-11-13T22:59:59Z","2010-07-29T00:00:00Z",100,"FR","Mont Saint Aignan","Solidaire & Citoyen","online",TRUE,FALSE,5,3000,0,"EUR",FALSE,"fr",0,0
362,"https://www.ulule.com/le-voisinoscope/","2010-10-15T21:59:59Z","2010-08-02T00:00:00Z",60,"FR",NA,"Solidaire & Citoyen","online",TRUE,FALSE,125,550,22,"EUR",FALSE,"fr",0,0
373,"https://www.ulule.com/north-atlantic-row/","2010-12-22T22:59:59Z","2010-08-01T00:00:00Z",120,"CA","Montréal, Québec","Sports","online",TRUE,FALSE,5158,5000,103,"CAD",TRUE,"en",42,14
378,"https://www.ulule.com/bloody-playland/","2010-09-25T21:59:59Z","2010-08-05T00:00:00Z",30,"FR",NA,"Film & vidéo","online",TRUE,FALSE,15,200,7,"EUR",FALSE,"fr",0,0
379,"https://www.ulule.com/nelja-le-plein-le-vide/","2010-09-07T21:59:59Z","2010-08-05T00:00:00Z",13,"FR","Thionville, 57","Art & Photo","online",TRUE,FALSE,6,200,3,"EUR",FALSE,"fr",0,0
380,"https://www.ulule.com/euphorie-des-arts/","2011-06-04T21:59:59Z","2011-04-05T00:00:00Z",60,"FR","paris","Art & Photo","online",TRUE,FALSE,0,4200,0,"EUR",FALSE,"fr",0,0
387,"https://www.ulule.com/cafe-croquis-geant/","2010-09-18T21:59:59Z","2010-08-25T00:00:00Z",NA,"FR","La Rochelle, France","Art & Photo","online",TRUE,FALSE,40,500,8,"EUR",FALSE,"fr",2,6
408,"https://www.ulule.com/ecolos-globe-trotters-sur-la-piste-des-aigles/","2010-10-25T21:59:59Z","2010-08-19T00:00:00Z",60,"FR",NA,"Solidaire & Citoyen","online",TRUE,FALSE,1135,1000,113,"EUR",TRUE,"fr",8,10
416,"https://www.ulule.com/livres-dont-vous-etes-le-heros/","2013-11-08T22:59:59Z","2013-10-02T00:00:00Z",NA,"FR","à PARIS (Issy les Moulineaux)","Jeux","online",TRUE,FALSE,2530,500,506,"EUR",TRUE,"fr",29,11
419,"https://www.ulule.com/rouen-together/","2010-10-16T21:59:59Z","2010-08-21T00:00:00Z",50,"FR","Rouen ","Solidaire & Citoyen","online",TRUE,FALSE,0,1000,0,"EUR",FALSE,"fr",0,3
424,"https://www.ulule.com/activites-pedagogiques-a-madagascar/","2010-10-29T21:59:59Z","2010-09-08T00:00:00Z",30,"FR","Troyes","Solidaire & Citoyen","online",TRUE,FALSE,600,600,100,"EUR",TRUE,"fr",6,2
426,"https://www.ulule.com/le-raid-humanitart/","2010-12-08T22:59:59Z","2010-09-09T00:00:00Z",NA,"FR","Nantes, France","Solidaire & Citoyen","online",TRUE,FALSE,2061,2000,103,"EUR",TRUE,"fr",20,5
434,"https://www.ulule.com/freetalkarchive/","2010-10-22T21:59:59Z","2010-09-10T00:00:00Z",42,"ZZ","Berkley, Michigan","Technologie","online",TRUE,FALSE,0,141,0,"USD",FALSE,"en",0,0
435,"https://www.ulule.com/copula/","2010-12-31T22:59:59Z","2010-09-10T00:00:00Z",NA,"FR","Grenoble, Paris, Genève, Lyon, et au-delà.","Spectacle vivant","online",TRUE,FALSE,1220,1000,122,"EUR",TRUE,"fr",3,3
437,"https://www.ulule.com/inspiring-quality-iq-mc2/","2011-05-18T21:59:59Z","2011-04-08T00:00:00Z",NA,"SE","Sweden","Musique","online",TRUE,FALSE,0,3910,0,"EUR",FALSE,"en",0,0
442,"https://www.ulule.com/russell-tribunal-on-palestine/","2010-11-05T22:59:59Z","2010-09-13T00:00:00Z",NA,NA,NA,"Film & vidéo","online",TRUE,FALSE,120,2500,4,"GBP",FALSE,"en",1,2
444,"https://www.ulule.com/the-experience/","2011-01-01T22:59:59Z","2010-09-13T00:00:00Z",NA,"FR","Saint-Ouen","Film & vidéo","online",TRUE,FALSE,1186,5000,23,"EUR",FALSE,"fr",13,2
455,"https://www.ulule.com/green-squares/","2011-02-13T22:59:59Z","2010-10-04T00:00:00Z",90,"HR",NA,"Solidaire & Citoyen","online",TRUE,FALSE,20,4500,0,"EUR",FALSE,"en",0,0
459,"https://www.ulule.com/lenvolee-ludique/","2010-11-08T22:59:59Z","2010-10-28T00:00:00Z",60,"BE","Ath / Hainaut / Belgique","Jeux","online",TRUE,FALSE,0,2000,0,"EUR",FALSE,"fr",0,0
463,"https://www.ulule.com/superbowl/","2011-09-15T21:59:59Z","2011-07-22T00:00:00Z",NA,"US","Chico, California, USA","Film & vidéo","online",TRUE,FALSE,131,4000000,0,"USD",FALSE,"en",4,0
464,"https://www.ulule.com/maxcornette/","2010-11-21T22:59:59Z","2010-08-27T00:00:00Z",80,"FR",NA,"Musique","online",TRUE,FALSE,2025,2000,101,"EUR",TRUE,"fr",8,15
466,"https://www.ulule.com/strongwoman/","2011-01-07T22:59:59Z","2010-08-28T00:00:00Z",120,"PL","Poland","Sports","online",TRUE,FALSE,15,7000,0,"EUR",FALSE,"en",0,0
484,"https://www.ulule.com/cqtm-septembre/","2010-09-08T21:59:59Z","2010-09-01T00:00:00Z",NA,NA,NA,"Solidaire & Citoyen","online",TRUE,FALSE,390,100,390,"EUR",TRUE,"fr",0,0
495,"https://www.ulule.com/tournee-zenfan-soley/","2011-01-19T22:59:59Z","2010-09-07T00:00:00Z",120,"FR",NA,"Spectacle vivant","online",TRUE,FALSE,2518,2500,100,"EUR",TRUE,"fr",7,4
501,"https://www.ulule.com/heureux-qui-comme-ulysse/","2010-10-13T21:59:59Z","2010-09-16T00:00:00Z",NA,"FR",NA,"Solidaire & Citoyen","online",TRUE,FALSE,374,20,1870,"EUR",TRUE,"fr",10,0
